stop_id;name;comune;zona;richiesta;geocode_query;lat;lng;fonte;geocode_match;verificato
s_cosenza_via_g_marconi_citta_duemila;COSENZA (Via G. Marconi - Citta Duemila);Cosenza;Via G. Marconi;;Via G. Marconi, Citta Duemila, Cosenza, Italia;;;;;no
s_rende_roges_villini;RENDE (Roges-Villini);Rende;Roges;;Roges, Villini, Rende, Italia;;;;;no
s_rende_roges_via_genova_7_a_rich;RENDE (Roges-Via Genova,7-a rich.);Rende;Roges;R;Roges, Via Genova, 7, Rende, Italia;;;;;no
s_rende_roges_viale_kennedy_n_c_114;RENDE (Roges-Viale Kennedy n.c.114);Rende;Roges;;Roges, Viale Kennedy 114, Rende, Italia;;;;;no
s_rende_commenda_via_della_resistenza_n_c_;RENDE (Commenda-Via della Resistenza n.c.32);Rende;Commenda;;Commenda, Via della Resistenza 32, Rende, Italia;;;;;no
s_rende_commenda_via_d_resistenza_96_a_ric;RENDE (Commenda-Via d.Resistenza,96-a rich.);Rende;Commenda;R;Commenda, Via d.Resistenza, 96, Rende, Italia;;;;;no
s_rende_commenda_via_della_resistenza_132;RENDE (Commenda-Via della Resistenza,132);Rende;Commenda;;Commenda, Via della Resistenza, 132, Rende, Italia;;;;;no
s_rende_commenda_via_g_verdi_110_a_rich;RENDE (Commenda-Via G.Verdi,110-a rich.);Rende;Commenda;R;Commenda, Via G.Verdi, 110, Rende, Italia;;;;;no
s_rende_commenda_via_g_verdi_170_a_rich;RENDE (Commenda-Via G.Verdi,170-a rich.);Rende;Commenda;R;Commenda, Via G.Verdi, 170, Rende, Italia;;;;;no
s_rende_commenda_via_g_verdi_n_c_220;RENDE (Commenda-Via G.Verdi n.c.220);Rende;Commenda;;Commenda, Via G.Verdi 220, Rende, Italia;;;;;no
s_rende_quattromiglia_via_verdi_248_a_rich;RENDE (Quattromiglia- Via Verdi,248 -a rich.);Rende;Quattromiglia;R;Quattromiglia, Via Verdi, 248, Rende, Italia;;;;;no
s_rende_quattromiglia_via_a_volta_n_c_66;RENDE (Quattromiglia-Via A.Volta n.c.66);Rende;Quattromiglia;;Quattromiglia, Via A.Volta 66, Rende, Italia;;;;;no
s_rende_quattromiglia_via_volta_staz_ferro;RENDE (Quattromiglia-Via Volta-Staz.Ferrov.);Rende;Quattromiglia;;Quattromiglia, Via Volta, Staz.Ferrov., Rende, Italia;;;;;no
